"","Scientific","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","BodyMass.Value","taxon"
"3407","Suncus hosei",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",7.64,"mammal"
"3408","Suncus fellowesgordoni",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",7.64,"mammal"
"3409","Suncus varilla",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",5,"mammal"
"3410","Suncus malayanus",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",5,"mammal"
"3411","Suncus megalura",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",5.38,"mammal"
"3412","Suncus mertensi",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",7.95,"mammal"
"3413","Suncus montanus",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",18,"mammal"
"3414","Suncus murinus",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",60.71,"mammal"
"3415","Suncus etruscus",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",2.13,"mammal"
"3416","Suncus stoliczkanus",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",9.43,"mammal"
"3417","Suncus infinitesimus",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",3,"mammal"
"3418","Suncus zeylanicus",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",29.8,"mammal"
"3419","Suncus remyi",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",1.75,"mammal"
"3420","Suncus aequatorius",80,0,0,0,10,10,0,0,0,0,"Ref_2","D1",7.15,"mammal"
"3421","Suncus dayi",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",9.43,"mammal"
"3422","Suncus ater",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",11.1,"mammal"
"3423","Suncus madagascariensis",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",3.5,"mammal"
"3424","Diplomesodon pulchellum",50,0,50,0,0,0,0,0,0,0,"Ref_1","ABC",11,"mammal"
"3425","Feroculus feroculus",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",36,"mammal"
"3426","Paracrocidura graueri",70,0,10,0,0,20,0,0,0,0,"Ref_3","D2",11.68,"mammal"
"3427","Paracrocidura maxima",70,0,10,0,0,20,0,0,0,0,"Ref_3","D2",11.68,"mammal"
"3428","Paracrocidura schoutedeni",70,0,10,0,0,20,0,0,0,0,"Ref_3","D2",13,"mammal"
"3429","Ruwenzorisorex suncoides",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",18.2,"mammal"
"3430","Scutisorex somereni",0,0,0,0,100,0,0,0,0,0,"Ref_1","ABC",91.5,"mammal"
"3431","Sylvisorex konganensis",60,0,0,0,20,20,0,0,0,0,"Ref_2","D1",5.15,"mammal"
"3432","Sylvisorex isabellae",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",9.99,"mammal"
"3433","Sylvisorex pluvialis",60,0,0,0,20,20,0,0,0,0,"Ref_2","D1",5.83,"mammal"
"3434","Sylvisorex oriundus",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",9.99,"mammal"
"3435","Sylvisorex ollula",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",13.2,"mammal"
"3436","Sylvisorex lunaris",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",18.5,"mammal"
